ingredientNL,ingredient,inRecipe,category,ingredientImage,inSeason,isPlantbased,,
ananas,pineapple,26,vegetables and fruit,,"winter, spring, summer, fall",1,,
aubergine,eggplant,"19, 20",vegetables and fruit,,"winter, spring, summer, fall",1,,
basilicum,basil,"1, 27",vegetables and fruit,,"winter, spring, summer, fall",1,,
bladerdeeg,puff pastry,17,"bread, grains and potatoes",,,0,,
bloemkool,cauliflower,"18, 23, 29",vegetables and fruit,,"summer, fall",1,,
boerenkool,kale,,vegetables and fruit,,"winter, fall",1,,
bosui,spring onion,,vegetables and fruit,,"summer, fall",1,,
broccoli,broccoli,"15, 22, 27",vegetables and fruit,,"summer, fall",1,,
cashew noten,cashew nuts,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
cherrytomaten,cherry tomatoes,"15, 20",vegetables and fruit,,"spring, summer",1,,
courgette,zucchini,"1, 20",vegetables and fruit,,summer,1,,
ei,egg,"17, 19, 29","fish, legumes, meat, egg, nuts, dairy",,,0,,
gehakt,minced meat,"13, 19","fish, legumes, meat, egg, nuts, dairy",,,0,,
gepelde tomaten in blik,canned peeled tomatoes,"13, 18",vegetables and fruit,,,1,,
geraspte kaas,grated cheese,"13, 15, 17, 20, 26","fish, legumes, meat, egg, nuts, dairy",,,0,,
Griekse yoghurt,Greek yoghurt,"11, 12, 18","fish, legumes, meat, egg, nuts, dairy",,,0,,
halfvolle melk,skim milk,"13, 19","fish, legumes, meat, egg, nuts, dairy",,,0,,
ham,ham,"14, 26","fish, legumes, meat, egg, nuts, dairy",,,0,,
havermelk,oat drink,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
kabeljauwfilet,codfish,"24, 28","fish, legumes, meat, egg, nuts, dairy",,,0,,
kidneybonen,kidney beans,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
kikkererwten,chickpeas,"12, 18","fish, legumes, meat, egg, nuts, dairy",,,1,,
kipfilet,chicken breast,"11, 25","fish, legumes, meat, egg, nuts, dairy",,,0,,
knoflook,garlic,"1, 11, 13, 14, 19, 20, 22, 23",vegetables and fruit,,,1,,
krieltjes,baby potatoes,"15, 25, 27","bread, grains and potatoes",,,1,,
lasagnebladen,lasagna sheets,13,"bread, grains and potatoes",,,1,,
linzen,lentils,"24, 28","fish, legumes, meat, egg, nuts, dairy",,,1,,
margarine,margarine,,fats,,,1,,
olijfolie,olive oil,"1, 12, 16, 17, 18, 19, 20, 21,22, 23, 25, 27, 29",fats,,,1,,
paksoi,bok choi,,vegetables and fruit,,"spring, summer, fall",1,,
Parmezaanse kaas,Parmesan cheese,"14, 19, 23, 29","fish, legumes, meat, egg, nuts, dairy",,,0,,
pastasaus,pasta sauce,15,overige,,,1,,
pompoen,pumpkin,"18, 27",vegetables and fruit,,"winter, spring",1,,
quinoa,quinoa,12,"bread, grains and potatoes",,,1,,
rijst,rice,"16, 26, 28","bread, grains and potatoes",,,1,,
risottorijst,risotto rice,"14, 23","bread, grains and potatoes",,,1,,
rode biet,beetroot,,vegetables and fruit,,"winter, spring, summer, fall",1,,
rode paprika,red bell pepper,"21, 22, 25, 26",vegetables and fruit,,"spring, summer",1,,
rode peper,red pepper,"12, 22",vegetables and fruit,,,1,,
rode ui,red onion,"16, 18, 25",vegetables and fruit,,"winter, spring, summer, fall",1,,
roomboter,butter,"11, 13, 14, 19, 23",fats,,,0,,
slagroom,whipped cream,"11, 17, 20, 27","fish, legumes, meat, egg, nuts, dairy",,,0,,
soja yoghurt,soy yoghurt,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
spekreepjes,bacon,"20, 29","fish, legumes, meat, egg, nuts, dairy",,,0,,
spinazie,spinach,"12, 16, 20, 28",vegetables and fruit,,summer,1,,
spruitjes,Brussels sprouts,,vegetables and fruit,,"fall, winter",1,,
stukjes als van kip,vegetarian chicken,16,"fish, legumes, meat, egg, nuts, dairy",,,1,,https://www.ah.nl/producten/product/wi437493/ah-stukjes-als-van-kip
tagliatelle,tagliatelle,"20, 29","bread, grains and potatoes",,,1,,
tarwebloem,wheat flour,"13, 18, 19","bread, grains and potatoes",,,1,,
tofu,tofu,22,"fish, legumes, meat, egg, nuts, dairy",,,1,,
tomaat,tomato,"1, 28",vegetables and fruit,,"spring, summer, fall",1,,
tomatenblokjes,diced tomatoes,"11, 19, 21, 24, 26",vegetables and fruit,,,1,,
tuinerwten,peas,"14, 17",vegetables and fruit,,,1,,
ui,onion,"11, 13, 14, 17, 19, 20, 21, 23, 24, 26, 28",vegetables and fruit,,"winter, spring, summer, fall",1,,
vegetarische zalmfilet,vegetarian salmon,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
witte kool,white cabbage,,vegetables and fruit,,"winter, spring, summer, fall",1,,
wortel,carrot,,vegetables and fruit,,"winter, spring, summer, fall",1,,
zalmfilet,salmon,"17, 27","fish, legumes, meat, egg, nuts, dairy",,,0,,
zoete aardappel,sweet potato,"12, 19",vegetables and fruit,,,1,,
zonnebloemolie,sunflower oil,"11, 18, 24, 28",fats,,,1,,
