Product_NL,Product_EN,Ingredient_recipe (included in recipe...),Category (schijf van 5),Product_image (image string (/filename.png)),Season (in season (per season / quarter)),"Plant_based (0 = no, 1 = yes)",In family cuisine,Quantity (in last month)
bladerdeeg,puff pastry,17,"brood, graanproducten en aardappelen",,,0,,
krieltjes,baby potatoes,"15, 25","brood, graanproducten en aardappelen",,,1,,
lasagnebladen,lasagna sheets,13,"brood, graanproducten en aardappelen",,,1,,
quinoa,quinoa,12,"brood, graanproducten en aardappelen",,,1,,
rijst,rice,"16, 26","brood, graanproducten en aardappelen",,,1,,
risottorijst,risotto rice,"14, 23","brood, graanproducten en aardappelen",,,1,,
tagliatelle,tagliatelle,20,"brood, graanproducten en aardappelen",,,1,,
tarwebloem,wheat flour,"13, 18, 19","brood, graanproducten en aardappelen",,,1,,
ananas,pineapple,26,groente en fruit,,"winter, spring, summer, fall",1,,
aubergine,eggplant,"19, 20",groente en fruit,,"winter, spring, summer, fall",1,,
basilicum,basil,1,groente en fruit,,"winter, spring, summer, fall",1,,
bloemkool,cauliflower,"18, 23",groente en fruit,,"summer, fall",1,,
broccoli,broccoli,"15, 22",groente en fruit,,"summer, fall",1,,
cherrytomaten,cherry tomatoes,"15, 20",groente en fruit,,"spring, summer",1,,
courgette,zucchini,"1, 20",groente en fruit,,summer,1,,
gepelde tomaten in blik,canned peeled tomatoes,"13, 18",groente en fruit,,,1,,
knoflook,garlic,"1, 11, 13, 14, 19, 20, 22, 23",groente en fruit,,,1,,
pompoen,pumpkin,18,groente en fruit,,"winter, spring",1,,
rode paprika,red bell pepper,"21, 22, 25, 26",groente en fruit,,"spring, summer",1,,
rode peper,red pepper,"12, 22",groente en fruit,,,1,,
rode ui,red onion,"16, 18, 25",groente en fruit,,"winter, spring, summer, fall",1,,
spinazie,spinach,"12, 16, 20",groente en fruit,,summer,1,,
tomaat,tomato,1,groente en fruit,,"spring, summer, fall",1,,
tomatenblokjes,diced tomatoes,"11, 19, 21, 24, 26",groente en fruit,,,1,,
tuinerwten,peas,"14, 17",groente en fruit,,,1,,
ui,onion,"11, 13, 14, 17, 19, 20, 21, 23, 24, 26",groente en fruit,,"winter, spring, summer, fall",1,,
witte kool,white cabbage,,groente en fruit,,"winter, spring, summer, fall",1,,
zoete aardappel,sweet potato,"12, 19",groente en fruit,,,1,,
boerenkool,kale,,groente en fruit,,"winter, fall",1,,
paksoi,bok choi,,groente en fruit,,"spring, summer, fall",1,,
rode biet,beetroot,,groente en fruit,,"winter, spring, summer, fall",1,,
wortel,carrot,,groente en fruit,,"winter, spring, summer, fall",1,,
pastasaus,pasta sauce,15,overige,,,1,,
olijfolie,olive oil,"1, 12, 16, 17, 18, 19, 20, 21,22, 23, 25",smeer- en bereidingsvetten,,,1,,
roomboter,butter,"11, 13, 14, 19, 23",smeer- en bereidingsvetten,,,0,,
zonnebloemolie,sunflower oil,"11, 18, 24",smeer- en bereidingsvetten,,,1,,
margarine,margarine,,smeer- en bereidingsvetten,,,1,,
ei,egg,"17, 19","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
gehakt,minced meat,"13, 19","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
geraspte kaas,grated cheese,"13, 15, 17, 20, 26","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
Griekse yoghurt,Greek yoghurt,"11, 12, 18","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
halfvolle melk,skim milk,"13, 19","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
ham,ham,"14, 26","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
kabeljauwfilet,codfish,24,"vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
kikkererwten,chickpeas,"12, 18","vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,
kipfilet,chicken breast,"11, 25","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
linzen,lentils,24,"vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,
parmezaanse kaas,Parmesan cheese,"14, 19, 23","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
slagroom,whipped cream,"11, 17, 20","vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
spekreepjes,bacon,20,"vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
stukjes als van kip,pieces like chicken,16,"vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,https://www.ah.nl/producten/product/wi437493/ah-stukjes-als-van-kip
tofu,tofu,22,"vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,
vegetarische zalmfilet,vegetarian salmon,,"vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,
zalmfilet,salmon,17,"vis, peulvruchten, vlees, ei, noten en zuivel",,,0,,
havermelk,oat drink,,"vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,
cashew noten,cashew nuts,,"vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,
kidneybonen,kidney beans,,"vis, peulvruchten, vlees, ei, noten en zuivel",,,1,,
